"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast"
"cg12525219",3.89404843254711,2.20455780930062,10.1845310702673,1.59133502472343e-08,2.15064960853749e-05,9.73205722711293,"Blood_vs_Saliva"
"cg18349298",4.90989355082612,-2.72093183253306,10.1444655039107,1.68388557005894e-08,2.15064960853749e-05,9.68100005164989,"Blood_vs_Saliva"
"cg26076724",5.40669034522755,-3.07405567524501,10.1307886006349,1.71676088405227e-08,2.15064960853749e-05,9.66352635391488,"Blood_vs_Saliva"
"cg13826564",4.53201543265897,2.51893665101904,9.98683140460475,2.10672086232053e-08,2.50720849824767e-05,9.47821751522346,"Blood_vs_Saliva"
"cg27353308",3.34322825960544,3.09862576963803,9.88856445191058,2.42566597137295e-08,2.74931911669614e-05,9.35025469708143,"Blood_vs_Saliva"
"cg14138540",4.79673126058977,-2.84773698352239,9.80704082845321,2.72873187865969e-08,2.7830327125574e-05,9.24318073440312,"Blood_vs_Saliva"
"cg16536399",3.76840062569351,3.11379729343359,9.7653488399989,2.89886825150253e-08,2.7830327125574e-05,9.18809926572521,"Blood_vs_Saliva"
"cg06430465",-3.8212012529255,2.93588632266695,-9.76025290554956,2.92041575321527e-08,2.7830327125574e-05,9.18135171518085,"Blood_vs_Saliva"
"cg01925891",2.97822552154984,1.89372824231343,9.75961896207903,2.92310805032917e-08,2.7830327125574e-05,9.18051207811664,"Blood_vs_Saliva"
"cg20410537",3.34121153706217,2.43854161615473,9.69468893610961,3.21316258833997e-08,2.94152676644876e-05,9.09424475443005,"Blood_vs_Saliva"
"cg24586870",3.11978620793353,2.7282324722081,9.65244054210519,3.41801594700594e-08,3.01317094706057e-05,9.03782485599709,"Blood_vs_Saliva"
"cg12212198",4.29900509585598,-3.11586008610552,9.60691723554872,3.6541857545887e-08,3.10631890466858e-05,8.97677627330496,"Blood_vs_Saliva"
"cg25303150",4.16333938197319,-2.97889733567612,9.55608714956456,3.93827594987126e-08,3.23237393651158e-05,8.90829680129181,"Blood_vs_Saliva"
"cg22438763",5.03290502051603,-3.13394833314877,9.42412072868228,4.78963176582399e-08,3.80009384300475e-05,8.72894921644221,"Blood_vs_Saliva"
"cg27200630",3.54593962564158,-2.66084782544112,9.30909619462256,5.68950801666246e-08,4.36844096169677e-05,8.57077242775782,"Blood_vs_Saliva"
"cg07198365",2.52258715307261,2.05761985360505,9.23363851837003,6.37498051947843e-08,4.69910845220431e-05,8.46605884550943,"Blood_vs_Saliva"
"cg00400827",3.43551257175291,2.78479248093023,9.20252042465581,6.68243328171924e-08,4.69910845220431e-05,8.4226557641058,"Blood_vs_Saliva"
"cg06650246",4.59646698052257,-2.86638537502856,9.19303743680814,6.7791916511104e-08,4.69910845220431e-05,8.4094033817306,"Blood_vs_Saliva"
"cg07375836",3.54497379315168,-2.73713291177163,9.16487401955306,7.07532054182501e-08,4.69910845220431e-05,8.36997451846142,"Blood_vs_Saliva"
"cg02799411",3.5282140537782,-2.37545776211097,9.16190709775027,7.10729788586485e-08,4.69910845220431e-05,8.36581464755502,"Blood_vs_Saliva"
"cg06379435",4.70047601449981,-2.70876272164966,9.13377982083485,7.41809722265773e-08,4.77204189442431e-05,8.32631931852124,"Blood_vs_Saliva"
"cg03678146",3.06874295559762,2.36055083181731,8.98001450176328,9.38882215624151e-08,5.88086170954896e-05,8.10852473564372,"Blood_vs_Saliva"
"cg05954120",3.77714046706313,-2.27589543073599,8.96289149674392,9.64004557119315e-08,5.88339396629588e-05,8.08407341758492,"Blood_vs_Saliva"
"cg17525495",3.24893968290265,-1.71936157117899,8.92761979502556,1.01800294031889e-07,5.96284152324779e-05,8.0335802180951,"Blood_vs_Saliva"
"cg14108894",2.60952341927329,2.51277562186474,8.92185500284715,1.02712588208201e-07,5.96284152324779e-05,8.02531148778406,"Blood_vs_Saliva"
"cg07114009",4.02194176760596,2.649563302276,8.87327144116874,1.10750395463795e-07,6.27638312578395e-05,7.95544500665692,"Blood_vs_Saliva"
"cg01858712",3.60745045768714,-2.45684424513906,8.8512374571167,1.1461074934511e-07,6.34410478119142e-05,7.9236519474917,"Blood_vs_Saliva"
"cg15545247",3.15333002045832,-2.03683878951885,8.82299546043758,1.19766229569912e-07,6.39306820527595e-05,7.88280365641258,"Blood_vs_Saliva"
"cg27583010",-2.92705038508766,2.0313463320687,-8.81662342859545,1.20962705531921e-07,6.39306820527595e-05,7.87357217062815,"Blood_vs_Saliva"
"cg11115622",3.73256216286627,-2.59894737498364,8.80305132228089,1.23553120512013e-07,6.39306820527595e-05,7.85389090523428,"Blood_vs_Saliva"
"cg20094462",3.88359366661225,-2.35059714543285,8.78325561748472,1.27436190804643e-07,6.4536940713449e-05,7.82513903559195,"Blood_vs_Saliva"
"cg03262260",2.59715767126773,2.89842231270253,8.73141056163317,1.38224833629753e-07,6.85422393761539e-05,7.74958070815175,"Blood_vs_Saliva"
"cg07863022",4.03002786674273,-3.02201521651137,8.69070393957782,1.47365217014181e-07,7.15834060279905e-05,7.68999386957446,"Blood_vs_Saliva"
"cg14101485",4.15200188274121,-2.7173766229403,8.53849698399173,1.87562564005601e-07,8.53763857747859e-05,7.46513967362594,"Blood_vs_Saliva"
"cg00168694",3.26996429212989,-2.15459195888566,8.53129209695701,1.89729559796401e-07,8.53763857747859e-05,7.45441526011119,"Blood_vs_Saliva"
"cg19851816",5.46662065039095,-3.4584792199847,8.52253123502006,1.92399945381447e-07,8.53763857747859e-05,7.44136492127793,"Blood_vs_Saliva"
"cg23415995",3.22959034677145,-1.69831075430567,8.51970536348097,1.93269673651256e-07,8.53763857747859e-05,7.43715314026355,"Blood_vs_Saliva"
"cg24207698",2.8026716460291,-1.79413245631698,8.51832874938404,1.93694850509976e-07,8.53763857747859e-05,7.43510097633693,"Blood_vs_Saliva"
"cg11568314",-3.12202688941928,2.72941820180981,-8.47635639538364,2.07140274084515e-07,8.96427782501751e-05,7.37240276414051,"Blood_vs_Saliva"
"cg26962618",4.07154068244288,-2.56997698626992,8.45671386616341,2.13765192300915e-07,9.08578411990424e-05,7.34297508716502,"Blood_vs_Saliva"
"cg19563510",5.73862981606688,-3.84000369390841,8.43374634201795,2.21794104257531e-07,9.26165485883818e-05,7.30849657684143,"Blood_vs_Saliva"
"cg04383154",3.02983105223691,2.24923113210782,8.39907961417258,2.34516414053057e-07,9.51776572292165e-05,7.25631332079277,"Blood_vs_Saliva"
"cg20455854",5.70496464872844,-3.6230568414466,8.39536367581242,2.35924786846642e-07,9.51776572292165e-05,7.25070962236599,"Blood_vs_Saliva"
"cg02262553",3.7222255771991,-2.4899001818135,8.38284388980838,2.40735472429608e-07,9.54997619128253e-05,7.23181507726819,"Blood_vs_Saliva"
"cg09605693",2.74405235611976,2.73263421382623,8.35680488606182,2.51072972093694e-07,9.79678505208871e-05,7.19244600175616,"Blood_vs_Saliva"
"cg10702418",2.99218876649788,-1.82489329361428,8.32411604232363,2.64712732193325e-07,0.000101624071801057,7.14288558266328,"Blood_vs_Saliva"
"cg09205945",3.39459225914049,-2.29642179741786,8.3056678599446,2.72751009958318e-07,0.000103047929190919,7.11484822417924,"Blood_vs_Saliva"
"cg19903071",3.16819951014239,-2.58326060354752,8.26783607937065,2.90045342712887e-07,0.000107869675738315,7.05719901826398,"Blood_vs_Saliva"
"cg07213830",3.3215569580593,-2.46334411992008,8.23940092209655,3.03798082833726e-07,0.000111246184117052,7.01373312425783,"Blood_vs_Saliva"
"cg00814909",2.90276245460627,2.85692002680461,8.20747126540619,3.2005838123515e-07,0.000115424690759985,6.96478658484825,"Blood_vs_Saliva"
"cg13652008",3.17741198019381,-1.47870513165631,8.18289990984574,3.33190706983356e-07,0.000116821812892733,6.92701965681896,"Blood_vs_Saliva"
"cg01477971",3.68696074775886,-2.1124081858893,8.17762514477185,3.36082685551063e-07,0.000116821812892733,6.91890079227356,"Blood_vs_Saliva"
"cg26823762",3.17438718321492,-2.45058464399702,8.17297026958915,3.38656629257985e-07,0.000116821812892733,6.91173270965413,"Blood_vs_Saliva"
"cg23287005",3.12991830858207,3.14497753502228,8.16129774052337,3.4520221102501e-07,0.000117378614668818,6.89374427682875,"Blood_vs_Saliva"
"cg26341831",-3.0586784081147,1.83871128707221,-8.14476389496827,3.54701414186302e-07,0.000118909902260033,6.86823030749692,"Blood_vs_Saliva"
"cg04993279",3.1220373092754,-2.05429539142968,8.12513610542505,3.66334557728351e-07,0.000120189154430488,6.83789046002747,"Blood_vs_Saliva"
"cg03070534",3.20760972793239,3.68357248409347,8.11333805712549,3.73518686410967e-07,0.000120189154430488,6.81962657997159,"Blood_vs_Saliva"
"cg04805065",2.25247726813195,2.35683869518188,8.1054310532012,3.78415881901633e-07,0.000120189154430488,6.80737487460052,"Blood_vs_Saliva"
"cg02902412",-3.40645401260829,2.87628500716599,-8.09183872519435,3.86991981172447e-07,0.000120189154430488,6.7862926410119,"Blood_vs_Saliva"
"cg14664412",3.34170144471359,-1.92713626646473,8.09062043046903,3.8777053699666e-07,0.000120189154430488,6.78440170475391,"Blood_vs_Saliva"
"cg02012974",2.93104490425742,-2.10371871502554,8.08104134040387,3.93949506214896e-07,0.000120189154430488,6.7695263014067,"Blood_vs_Saliva"
"cg19356022",3.26843009446327,-2.01632319303358,8.07557902637169,3.97519015874605e-07,0.000120189154430488,6.76103786873442,"Blood_vs_Saliva"
"cg08005809",3.3822687710912,3.61709708538947,8.07345876116223,3.98913671120432e-07,0.000120189154430488,6.75774180621271,"Blood_vs_Saliva"
"cg24608504",3.30348175827193,-1.77322677282644,8.06284477260853,4.05972670443778e-07,0.000120787018773785,6.7412319548645,"Blood_vs_Saliva"
"cg21285555",2.8662293178053,-1.75765795705676,8.05403692514348,4.11929698034822e-07,0.000121046304600306,6.72751904309703,"Blood_vs_Saliva"
"cg20691436",3.78779293889089,2.37570911192421,8.0391014026455,4.22241073206496e-07,0.00012150262547378,6.70424008731003,"Blood_vs_Saliva"
"cg02538681",3.18073432944732,-1.59582990100599,8.0370304329417,4.23692039085948e-07,0.00012150262547378,6.70100963926841,"Blood_vs_Saliva"
"cg09966112",2.92850562522616,2.07342752450485,8.0262082463769,4.31359637259132e-07,0.000122228834357641,6.68411821512411,"Blood_vs_Saliva"
"cg23240927",3.82746859724743,-2.14354498905634,8.00578801091857,4.46225666419247e-07,0.000124953686024834,6.65219936609597,"Blood_vs_Saliva"
"cg10969178",2.58813688015662,1.86810030568842,7.96230708949122,4.79694374810449e-07,0.000132674364881154,6.58403089410218,"Blood_vs_Saliva"
"cg05666658",2.6923628430581,2.22074708879976,7.95577445866092,4.84945372013294e-07,0.000132674364881154,6.57376521104214,"Blood_vs_Saliva"
"cg08844325",2.7770149165739,2.06680057213231,7.94427700309291,4.94333726934383e-07,0.000133417664240592,6.55568234672246,"Blood_vs_Saliva"
"cg21486510",3.58563713088623,-2.437977497463,7.93879979941064,4.98872872759123e-07,0.000133417664240592,6.54706112942232,"Blood_vs_Saliva"
"cg19913563",3.21880012645062,-2.56008645087596,7.92531621988672,5.1023396358118e-07,0.000134939875568436,6.52581893889583,"Blood_vs_Saliva"
"cg06332842",3.00405619899966,2.51678392274408,7.91406871724503,5.19917958235804e-07,0.000135989969691523,6.50807903068746,"Blood_vs_Saliva"
"cg17262810",2.82578633517153,-1.88780865753547,7.8949750156248,5.36800201495309e-07,0.000138879547782515,6.47792120833202,"Blood_vs_Saliva"
"cg13159929",3.01153443890656,2.99454326422073,7.87757214539184,5.52687166568643e-07,0.00014145225740502,6.45038719520586,"Blood_vs_Saliva"
"cg06578434",3.69082597599155,-1.9536408780881,7.8542206032293,5.74781204970937e-07,0.000145541938731045,6.41337126884444,"Blood_vs_Saliva"
"cg06033531",3.55931868243841,-2.08679686908836,7.84709620840652,5.8170435561301e-07,0.000145744495497904,6.40206193405547,"Blood_vs_Saliva"
"cg10806146",4.25124558126796,-2.42495052707602,7.83585776874082,5.92803180572883e-07,0.000146978138583289,6.38420667562374,"Blood_vs_Saliva"
"cg03081478",3.0237490290147,-2.39634932025215,7.80829199808228,6.2097461086369e-07,0.000152375646265748,6.34033199649841,"Blood_vs_Saliva"
"cg12192749",2.88978885330464,-2.11813300294308,7.79346174466682,6.367065942103e-07,0.000154641738320342,6.31668108793901,"Blood_vs_Saliva"
"cg24427660",2.88664265552376,-1.89367755909719,7.78451193809185,6.464017233271e-07,0.000155410644632643,6.30239239756184,"Blood_vs_Saliva"
"cg16226866",4.83162777605681,-2.51783519488994,7.77213240065735,6.60067348516194e-07,0.00015700377676808,6.28260844250911,"Blood_vs_Saliva"
"cg20317748",2.85857331061917,-1.97286907721359,7.75757341434424,6.76526259200601e-07,0.00015700377676808,6.2593123785384,"Blood_vs_Saliva"
"cg10819238",4.87741618918289,-3.48064422053887,7.75691352258247,6.77282355408331e-07,0.00015700377676808,6.2582557299685,"Blood_vs_Saliva"
"cg08418670",4.23647905514921,-1.85860594946805,7.75505808434742,6.79413032817083e-07,0.00015700377676808,6.25528437177902,"Blood_vs_Saliva"
"cg22193912",6.44142985627562,-3.47471351539707,7.73768797188093,6.99703077376203e-07,0.000159052399609077,6.22744251755927,"Blood_vs_Saliva"
"cg23447233",5.12043043643912,-3.2441425815353,7.73605504726482,7.01642801401272e-07,0.000159052399609077,6.2248228631876,"Blood_vs_Saliva"
"cg08428292",-3.51897037351926,2.19824647184572,-7.72698899767602,7.12514943413845e-07,0.000159993213991852,6.2102712492929,"Blood_vs_Saliva"
"cg25957124",3.32828452962115,-2.50348915381208,7.71525228776003,7.26851974558726e-07,0.000161687202789222,6.19141489423219,"Blood_vs_Saliva"
"cg14752089",3.15850130209918,-2.42791455310738,7.68418474633445,7.66277276792684e-07,0.000165622575745826,6.1414024086978,"Blood_vs_Saliva"
"cg20184271",2.86741994914412,-1.73883176127119,7.68123383257482,7.70136539168453e-07,0.000165622575745826,6.1366445561136,"Blood_vs_Saliva"
"cg23542902",2.73907361588867,-2.16739815537855,7.68016217878334,7.71543092746654e-07,0.000165622575745826,6.1349163732456,"Blood_vs_Saliva"
"cg13706784",-2.34056053155725,2.44037222849644,-7.67510158432064,7.78221530660301e-07,0.000165622575745826,6.12675318560211,"Blood_vs_Saliva"
"cg14742445",2.76527078688263,-2.04360150055758,7.67426236903168,7.7933486612606e-07,0.000165622575745826,6.12539908790446,"Blood_vs_Saliva"
"cg20078972",3.37307417240647,-2.23779233198349,7.65230046204888,8.09070058935705e-07,0.000169194373521071,6.08992558966111,"Blood_vs_Saliva"
"cg00423035",2.90411222670096,-1.90489478988427,7.64822780528217,8.14713312673421e-07,0.000169194373521071,6.08333940917721,"Blood_vs_Saliva"
"cg07006935",3.57813561239045,-2.56576901837283,7.63713100736079,8.30299249579672e-07,0.000169194373521071,6.06538143092518,"Blood_vs_Saliva"
"cg18399451",-3.28001767430631,1.70704037834288,-7.63455613168783,8.33960117834217e-07,0.000169194373521071,6.06121187449715,"Blood_vs_Saliva"
"cg26746309",3.60533314559249,-2.40371267224869,7.62499522159183,8.47701759471871e-07,0.000169194373521071,6.04572100368135,"Blood_vs_Saliva"
"cg14480116",2.91099338528265,-1.96348447618383,7.62360762437674,8.49715693430866e-07,0.000169194373521071,6.04347164259617,"Blood_vs_Saliva"
"cg26027052",3.36574984854195,-2.35487901637237,7.61600111968043,8.60844820835695e-07,0.000169194373521071,6.03113602491682,"Blood_vs_Saliva"
"cg00483030",3.13245444662471,-2.00129634974989,7.61487804626659,8.62500857513727e-07,0.000169194373521071,6.02931398211284,"Blood_vs_Saliva"
"cg11752788",2.68317769748778,-1.71757498350234,7.6075939601628,8.73322796425474e-07,0.000169194373521071,6.01749190772113,"Blood_vs_Saliva"
"cg27395066",4.21226458084714,-2.49406173642611,7.60233727229977,8.81220720983256e-07,0.000169194373521071,6.00895537285348,"Blood_vs_Saliva"
"cg03418002",3.83586036524375,-1.9030273526719,7.59717243176197,8.89053363443491e-07,0.000169194373521071,6.00056396717683,"Blood_vs_Saliva"
"cg09183124",3.37388204131983,-2.32086718740068,7.5937148631199,8.94337497681128e-07,0.000169194373521071,5.99494416576945,"Blood_vs_Saliva"
"cg25968394",3.26722400346945,-1.62434291261341,7.5932935022087,8.94983694923502e-07,0.000169194373521071,5.99425917940188,"Blood_vs_Saliva"
"cg00259234",2.35463359446871,2.45812861798282,7.58918275699629,9.01313571720114e-07,0.000169194373521071,5.98757514283892,"Blood_vs_Saliva"
"cg04244170",3.09974817454634,-1.73524696250495,7.58824244411897,9.02768063069325e-07,0.000169194373521071,5.9860458467735,"Blood_vs_Saliva"
"cg02802072",3.25956723640387,-2.20449140960416,7.56719438098941,9.35975557436147e-07,0.000174047579828869,5.95177928056401,"Blood_vs_Saliva"
"cg25886621",-2.6182270639138,2.17727602099168,-7.55265526413402,9.59657319775539e-07,0.000177067934304631,5.92807063058304,"Blood_vs_Saliva"
"cg22022797",3.04521783516953,1.86188018895735,7.54119798187752,9.7875995407213e-07,0.000178414271561851,5.90936514773375,"Blood_vs_Saliva"
"cg19362774",-5.05582397073505,2.36649209654862,-7.53931004887684,9.81945616948262e-07,0.000178414271561851,5.90628096623591,"Blood_vs_Saliva"
"cg21854332",3.26801334463907,-2.48549795177063,7.52076191098534,1.0138254857395e-06,0.000182811168269482,5.87595176869052,"Blood_vs_Saliva"
"cg17740645",2.82410252433333,-2.16102730927049,7.49951917946543,1.05166907821307e-06,0.000188080740731707,5.84115304899759,"Blood_vs_Saliva"
"cg21702188",3.13397407700042,-2.41763883036079,7.49453988790494,1.06075124055213e-06,0.000188080740731707,5.83298643366713,"Blood_vs_Saliva"
"cg15994604",3.68468154559316,-2.47032942410582,7.48469384350205,1.07895228450447e-06,0.000188080740731707,5.81682681483508,"Blood_vs_Saliva"
"cg18437792",2.76796022697596,-2.21147860533805,7.48304203083892,1.08203757739108e-06,0.000188080740731707,5.81411438419751,"Blood_vs_Saliva"
"cg01543184",3.50378688515193,-1.93748262438623,7.48023216361646,1.08730709789218e-06,0.000188080740731707,5.80949937776734,"Blood_vs_Saliva"
"cg12476487",-2.66573259801867,1.8453391774394,-7.47617455990431,1.09496392203039e-06,0.000188080740731707,5.8028329590159,"Blood_vs_Saliva"
"cg14578677",3.20915774181016,-1.69645439577304,7.47438305562334,1.09836244692493e-06,0.000188080740731707,5.79988882886191,"Blood_vs_Saliva"
"cg23809813",-2.04191043453855,2.03218938415961,-7.46855082510029,1.10950283723059e-06,0.000188631332369732,5.79030088994087,"Blood_vs_Saliva"
"cg06365976",2.81141836445642,2.37481753762591,7.46079590759298,1.12449891171431e-06,0.00018982498650088,5.77754421331605,"Blood_vs_Saliva"
"cg24442740",6.596297984343,-3.95099871369616,7.45131685984187,1.143117006017e-06,0.000191608950543779,5.76193909278491,"Blood_vs_Saliva"
"cg06198069",2.97819037529445,1.79891566498897,7.4406521170984,1.1644493611499e-06,0.000191737682687045,5.74436583027445,"Blood_vs_Saliva"
"cg00901982",3.5404052512184,-2.68732899437988,7.43847632737915,1.16885235338285e-06,0.000191737682687045,5.74077848211133,"Blood_vs_Saliva"
"cg02683114",3.09418297116358,2.41395249943627,7.43516511396144,1.17558641272123e-06,0.000191737682687045,5.73531772890455,"Blood_vs_Saliva"
"cg10603275",4.19744036284482,-2.99206777843957,7.43107908686847,1.18395210414716e-06,0.000191737682687045,5.72857690121221,"Blood_vs_Saliva"
"cg21088438",2.84038925641066,-2.05251938149432,7.43097664079698,1.18416264830668e-06,0.000191737682687045,5.72840786089824,"Blood_vs_Saliva"
"cg15296767",3.43967364674098,-2.2415726794646,7.42434011609294,1.19788548493983e-06,0.000192649123733364,5.71745394965416,"Blood_vs_Saliva"
"cg01723892",3.40108618204322,-2.70386035756489,7.41282681154788,1.22208774617737e-06,0.000195222366003448,5.69843493681743,"Blood_vs_Saliva"
"cg14615559",3.09560394727565,-1.76672549040866,7.3939371046856,1.26290823324863e-06,0.000200398278451892,5.66718746082593,"Blood_vs_Saliva"
"cg03998264",3.36059326099698,-2.56346734786662,7.38842214218646,1.27509262142359e-06,0.000200991752153141,5.6580544305083,"Blood_vs_Saliva"
"cg07676859",4.22827935042481,-2.64482451790998,7.38259702930111,1.28809559465545e-06,0.000201705600947297,5.64840279692717,"Blood_vs_Saliva"
"cg19649900",4.31587858851547,-2.39464936281338,7.37740691885209,1.29979772532064e-06,0.000202207748092038,5.63979898853227,"Blood_vs_Saliva"
"cg07495389",2.90214463062853,-1.92195727287574,7.35310849307492,1.35607806067759e-06,0.000209593311689922,5.59946468063991,"Blood_vs_Saliva"
"cg00980622",2.90295859855593,-1.51184818083735,7.3370692467164,1.39461746258266e-06,0.000214159257060596,5.57279141923704,"Blood_vs_Saliva"
"cg07453440",3.25857378903486,-2.40046768175708,7.32412789138275,1.42654595045448e-06,0.000217657991748189,5.55124163195437,"Blood_vs_Saliva"
"cg09092280",3.02368947250157,-2.41557617454438,7.31453342070857,1.45070905488958e-06,0.000219934884869311,5.53524870488923,"Blood_vs_Saliva"
"cg15658793",4.22459887875166,-2.03272304557806,7.30362498128648,1.47870105578954e-06,0.000222759762847485,5.51704863833725,"Blood_vs_Saliva"
"cg23657099",3.7096778553906,-2.46803370649659,7.29848165182531,1.49209428301459e-06,0.000223302024200702,5.50846106731618,"Blood_vs_Saliva"
"cg18655369",3.13163768669511,-2.10318610452086,7.29506395086516,1.50106393883339e-06,0.000223302024200702,5.50275248406582,"Blood_vs_Saliva"
"cg10225149",2.692382410689,-1.84339294863519,7.29054236099612,1.51301727362392e-06,0.000223682218303084,5.49519736235969,"Blood_vs_Saliva"
"cg11600734",3.31652131063683,-2.32282504656364,7.28143890883419,1.53738559711684e-06,0.000225881802361574,5.47997703219206,"Blood_vs_Saliva"
"cg16481332",3.11581432002101,-2.04430886339011,7.26545663779202,1.58116306807927e-06,0.000230545695289006,5.45322548245631,"Blood_vs_Saliva"
"cg06526620",2.37362468199481,-1.23369193415365,7.262823053717,1.58850071537673e-06,0.000230545695289006,5.44881361110637,"Blood_vs_Saliva"
"cg01952226",2.76545167788695,-1.74380792463614,7.25453637856612,1.61182158994859e-06,0.000232512590811856,5.4349246392119,"Blood_vs_Saliva"
"cg00530564",2.84615458483755,-2.13942350745919,7.24464260315067,1.64013393675261e-06,0.000234057798773268,5.41832845862458,"Blood_vs_Saliva"
"cg19389293",3.18075083494,-1.58134921488609,7.24392748919586,1.64220033590185e-06,0.000234057798773268,5.41712832618167,"Blood_vs_Saliva"
"cg27076223",2.96811477801962,-2.18653573435945,7.23768661762948,1.66034972006275e-06,0.000234935955596303,5.40665136358666,"Blood_vs_Saliva"
"cg19418318",2.69019334127454,-1.51908358999149,7.23491900306397,1.66846522300659e-06,0.000234935955596303,5.40200329929935,"Blood_vs_Saliva"
"cg13304825",2.86560296158692,-1.85506916379935,7.23169440785582,1.67797296241373e-06,0.000234935955596303,5.39658629711523,"Blood_vs_Saliva"
"cg05836475",2.83376414890245,-1.6113819535774,7.22480554429301,1.69847468806768e-06,0.000235550478756583,5.38500841052597,"Blood_vs_Saliva"
"cg01561719",2.7599581433342,-1.9895833597765,7.22291519698296,1.70414606444841e-06,0.000235550478756583,5.38183010937194,"Blood_vs_Saliva"
"cg05389236",2.89869513508531,-1.66387562461785,7.21791624631788,1.71923921004566e-06,0.000235550478756583,5.37342260652578,"Blood_vs_Saliva"
"cg26431815",2.85568786109764,2.23654057112265,7.21702424245798,1.72194703401586e-06,0.000235550478756583,5.37192198875438,"Blood_vs_Saliva"
"cg05798664",3.54248298934792,-1.97176042837972,7.19869690157613,1.77857865880506e-06,0.000240526381707364,5.34106323136465,"Blood_vs_Saliva"
"cg13480197",2.79175326994801,-1.23168226797528,7.19604626051841,1.78692859624417e-06,0.000240526381707364,5.33659598831129,"Blood_vs_Saliva"
"cg14044785",3.11693118837428,-1.65546586878706,7.19465166074012,1.79133821332551e-06,0.000240526381707364,5.33424517998106,"Blood_vs_Saliva"
"cg08044694",2.94892682815505,-2.2005376814674,7.19231763647417,1.79874363263216e-06,0.000240526381707364,5.33031017058774,"Blood_vs_Saliva"
"cg04635642",4.12156308074952,-3.12003105065359,7.18476969431766,1.82291122666233e-06,0.000242177050647111,5.31757919145938,"Blood_vs_Saliva"
"cg11229273",3.23455699169776,-2.49707425049199,7.18213176131854,1.83143723705907e-06,0.000242177050647111,5.31312780094202,"Blood_vs_Saliva"
"cg18065599",2.9955603017183,-2.06538560098419,7.17114477298593,1.86739796701127e-06,0.000244368668186549,5.2945764189386,"Blood_vs_Saliva"
"cg26538140",2.95511849371054,-2.11108011776674,7.17079809773396,1.86854455969884e-06,0.000244368668186549,5.29399076464409,"Blood_vs_Saliva"
"cg21870229",2.95813589830625,-2.32860802460847,7.16714037255494,1.88068695174942e-06,0.000244612627461966,5.28781049266172,"Blood_vs_Saliva"
"cg20340242",2.96291063618478,-2.18816741412084,7.1636397970746,1.89238474738811e-06,0.000244796422594195,5.28189384906128,"Blood_vs_Saliva"
"cg01176141",3.34556464041482,3.58570956142222,7.15868682498697,1.90906579232775e-06,0.000245560135545116,5.27351920271322,"Blood_vs_Saliva"
"cg03778909",3.26301855573874,-1.78977393541405,7.15578142203696,1.91892215828046e-06,0.000245560135545116,5.26860492195659,"Blood_vs_Saliva"
"cg16509045",2.7121906839636,-1.69589551910043,7.13832785451864,1.97925993467849e-06,0.000249295081042158,5.23905652149778,"Blood_vs_Saliva"
